forget,algo,init,steps,seed,model_utility,forget_Q_A_Prob,forget_Q_A_ROUGE,extraction_strength,source
forget01,NPO,kforge_s045,100,0,0.5756124915712811,0.010756104135543865,0.2623127301215501,0.043398411925349045,tofu_Llama-3.2-1B-Instruct_forget01_NPO_kforge_s045_S100_seed0_v2lam0p01_corr_EVAL_FP32
forget01,NPO,kforge_s045,100,1,0.5782097545934105,0.009541208577229555,0.2328460563655411,0.045683455377290884,tofu_Llama-3.2-1B-Instruct_forget01_NPO_kforge_s045_S100_seed1_v2lam0p01_corr_EVAL_FP32
forget01,NPO,kforge_s045,100,2,0.5828677003198777,0.012478555976849747,0.2646409377049694,0.05051487002864925,tofu_Llama-3.2-1B-Instruct_forget01_NPO_kforge_s045_S100_seed2_v2lam0p01_corr_EVAL_FP32
forget01,NPO,kforge_s045,250,0,0.5938944189048537,0.008943831928945656,0.2399835742130536,0.04183021110443084,tofu_Llama-3.2-1B-Instruct_forget01_NPO_kforge_s045_S250_seed0_v2lam0p01_corr_EVAL_FP32
forget01,NPO,kforge_s045,250,1,0.5930612925059515,0.010545730950343567,0.2527716232202192,0.04604577421787059,tofu_Llama-3.2-1B-Instruct_forget01_NPO_kforge_s045_S250_seed1_v2lam0p01_corr_EVAL_FP32
forget01,NPO,kforge_s045,250,2,0.5919176218546426,0.01252471578791301,0.2508592829953852,0.0542907861415219,tofu_Llama-3.2-1B-Instruct_forget01_NPO_kforge_s045_S250_seed2_v2lam0p01_corr_EVAL_FP32
forget01,NPO,kforge_s045,50,0,0.5729612980178653,0.008840576173315639,0.2799799609312738,0.041492924120470995,tofu_Llama-3.2-1B-Instruct_forget01_NPO_kforge_s045_S50_seed0_v2lam0p01_corr_EVAL_FP32
forget01,NPO,kforge_s045,50,1,0.5739975418777962,0.010699830890189332,0.22115759798389206,0.045496515718961995,tofu_Llama-3.2-1B-Instruct_forget01_NPO_kforge_s045_S50_seed1_v2lam0p01_corr_EVAL_FP32
forget01,NPO,kforge_s045,50,2,0.5726241788022682,0.011686031614226522,0.24352757203014166,0.046381353096784705,tofu_Llama-3.2-1B-Instruct_forget01_NPO_kforge_s045_S50_seed2_v2lam0p01_corr_EVAL_FP32
forget01,NPO,kforge_s06,100,0,0.572234995448149,0.011432344470449607,0.2675230947346419,0.0377705124642092,tofu_Llama-3.2-1B-Instruct_forget01_NPO_kforge_s06_S100_seed0_v2lam0p01_corr_EVAL_FP32
forget01,NPO,kforge_s06,100,1,0.572901637233484,0.008894338769459864,0.23487445092429252,0.04328185167054012,tofu_Llama-3.2-1B-Instruct_forget01_NPO_kforge_s06_S100_seed1_v2lam0p01_corr_EVAL_FP32
forget01,NPO,kforge_s06,100,2,0.5763817008522263,0.012312423550611129,0.2554284994818511,0.045176105672352265,tofu_Llama-3.2-1B-Instruct_forget01_NPO_kforge_s06_S100_seed2_v2lam0p01_corr_EVAL_FP32
forget01,NPO,kforge_s06,250,0,0.5899509491871038,0.010048797495392137,0.2616206641503728,0.046797885798582205,tofu_Llama-3.2-1B-Instruct_forget01_NPO_kforge_s06_S250_seed0_v2lam0p01_corr_EVAL_FP32
forget01,NPO,kforge_s06,250,1,0.5943278018075742,0.009507087157817295,0.263200313373662,0.0453848695051083,tofu_Llama-3.2-1B-Instruct_forget01_NPO_kforge_s06_S250_seed1_v2lam0p01_corr_EVAL_FP32
forget01,NPO,kforge_s06,250,2,0.5885971110439353,0.01129496843104789,0.2622604137002929,0.04410142159337092,tofu_Llama-3.2-1B-Instruct_forget01_NPO_kforge_s06_S250_seed2_v2lam0p01_corr_EVAL_FP32
forget01,NPO,kforge_s06,50,0,0.5614763527491023,0.009986356687659282,0.25508266305613275,0.03953071654584185,tofu_Llama-3.2-1B-Instruct_forget01_NPO_kforge_s06_S50_seed0_v2lam0p01_corr_EVAL_FP32
forget01,NPO,kforge_s06,50,1,0.5661900857158731,0.009570764742966276,0.24523779222472894,0.042700456321702905,tofu_Llama-3.2-1B-Instruct_forget01_NPO_kforge_s06_S50_seed1_v2lam0p01_corr_EVAL_FP32
forget01,NPO,kforge_s06,50,2,0.5700307446155984,0.0141674206519383,0.24363386193991685,0.04468203452610721,tofu_Llama-3.2-1B-Instruct_forget01_NPO_kforge_s06_S50_seed2_v2lam0p01_corr_EVAL_FP32
forget01,NPO,scratch,100,0,0.5801010268989917,0.011140504487957514,0.24265535217110407,0.038323152586948725,tofu_Llama-3.2-1B-Instruct_forget01_NPO_scratch_S100_seed0_v2lam0p01_corr_EVAL_FP32
forget01,NPO,scratch,100,1,0.5799382886979392,0.01322493127299822,0.26923956752685546,0.05269990167842711,tofu_Llama-3.2-1B-Instruct_forget01_NPO_scratch_S100_seed1_v2lam0p01_corr_EVAL_FP32
forget01,NPO,scratch,100,2,0.5797063207802342,0.011208719505521002,0.25714215433920495,0.04644702008394086,tofu_Llama-3.2-1B-Instruct_forget01_NPO_scratch_S100_seed2_v2lam0p01_corr_EVAL_FP32
forget01,NPO,scratch,250,0,0.5941657389040148,0.008947562593220937,0.23112886458255524,0.04324105688382329,tofu_Llama-3.2-1B-Instruct_forget01_NPO_scratch_S250_seed0_v2lam0p01_corr_EVAL_FP32
forget01,NPO,scratch,250,1,0.5940560812212561,0.011837734740583982,0.26709794459825326,0.0523687622296406,tofu_Llama-3.2-1B-Instruct_forget01_NPO_scratch_S250_seed1_v2lam0p01_corr_EVAL_FP32
forget01,NPO,scratch,250,2,0.5926299539656112,0.009773612923618202,0.2662142593977933,0.0456475776834329,tofu_Llama-3.2-1B-Instruct_forget01_NPO_scratch_S250_seed2_v2lam0p01_corr_EVAL_FP32
forget01,NPO,scratch,50,0,0.5750768531717685,0.012453931701747934,0.2585608423718216,0.04562358272395865,tofu_Llama-3.2-1B-Instruct_forget01_NPO_scratch_S50_seed0_v2lam0p01_corr_EVAL_FP32
forget01,NPO,scratch,50,1,0.5803910153468156,0.014748557923303452,0.2972299702761027,0.05229383453128853,tofu_Llama-3.2-1B-Instruct_forget01_NPO_scratch_S50_seed1_v2lam0p01_corr_EVAL_FP32
forget01,NPO,scratch,50,2,0.5787235040438936,0.014218196338333655,0.25069305551596444,0.04695895495757786,tofu_Llama-3.2-1B-Instruct_forget01_NPO_scratch_S50_seed2_v2lam0p01_corr_EVAL_FP32
forget01,SimNPO,kforge_s045,100,0,0.5699839595926958,0.20311803575605153,0.38175047952010127,0.11495135040976709,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_kforge_s045_S100_seed0_v2lam0p01_corr_EVAL_FP32
forget01,SimNPO,kforge_s045,100,1,0.5845033595000481,0.21019381238147616,0.3568591944906975,0.11690379310409511,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_kforge_s045_S100_seed1_v2lam0p01_corr_EVAL_FP32
forget01,SimNPO,kforge_s045,100,2,0.5765603157903219,0.2131150378845632,0.3359556264505337,0.11588859516254746,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_kforge_s045_S100_seed2_v2lam0p01_corr_EVAL_FP32
forget01,SimNPO,kforge_s045,250,0,0.5873569737502026,0.16175029277801514,0.3394805223636278,0.1031118540381843,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_kforge_s045_S250_seed0_v2lam0p01_corr_EVAL_FP32
forget01,SimNPO,kforge_s045,250,1,0.5923219219618152,0.16956075541675092,0.3182769319018324,0.1079505837588997,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_kforge_s045_S250_seed1_v2lam0p01_corr_EVAL_FP32
forget01,SimNPO,kforge_s045,250,2,0.5942244522792126,0.17323601925745608,0.3467712032919383,0.11110168574937403,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_kforge_s045_S250_seed2_v2lam0p01_corr_EVAL_FP32
