method,family,model_utility,forget_Q_A_Prob,forget_Q_A_ROUGE,extraction_strength
Base model,reference,0.5991534707368931,0.8804820564389229,0.8201171050577979,0.706268493976531
Gold retrain,reference,0.5911246639353407,0.1161314930615481,0.37907355526383685,0.05895894128954535
K-FORGE one-shot α=0.1,one-shot,0.5989675831410621,0.8779311755299568,0.8138721863856435,0.6983266091888428
K-FORGE one-shot α=0.35,one-shot,0.5942853942832405,0.8205057790130377,0.6924169578687094,0.5422316127513502
K-FORGE one-shot α=0.3,one-shot,0.5952839121517333,0.8366291411966086,0.721161006331201,0.5919613471152441
K-FORGE one-shot α=0.45,one-shot,0.5815786790574067,0.7744586505740881,0.6125788125026002,0.3895617715462173
K-FORGE one-shot α=0.6,one-shot,0.5563967006275888,0.6572890876978635,0.5392330988636915,0.26181456785945506
K-FORGE one-shot α=0.8,one-shot,0.512500892403144,0.41089929864741864,0.4265485672943218,0.12980800518393013
K-FORGE one-shot α=10,one-shot,0.0,3.876136401572694e-06,0.00031746031746031746,0.03250892997513522
K-FORGE one-shot α=1,one-shot,0.3698235282878546,0.13348860468482598,0.31588364047708783,0.06355600893625958
K-FORGE one-shot α=3,one-shot,0.007481588161632426,0.0006429967723579467,0.06853634293327728,0.03250892997513522
NPO kforge_s045 S50,kforge_s045,0.5648133885165426,0.047086188001526356,0.2706676647544985,0.07160428238060275
NPO kforge_s045 S100,kforge_s045,0.5869104270584772,0.028926348229055824,0.2753940486769579,0.07308113643222809
NPO kforge_s045 S250,kforge_s045,0.6008798657236886,0.021091729603442008,0.27506408978744945,0.07192763883982915
NPO kforge_s06 S50,kforge_s06,0.5738346762486776,0.045373095879250896,0.26979176030720686,0.07055118044816068
NPO kforge_s06 S100,kforge_s06,0.5931518420536985,0.030760121223593544,0.2669582219545358,0.0733949777733785
NPO kforge_s06 S250,kforge_s06,0.6033571246011292,0.022316304330424117,0.2686793171641657,0.07391378028863176
NPO scratch S50,scratch,0.5093834391614128,0.09314545919844629,0.2428794116354005,0.06790589081463681
NPO scratch S100,scratch,0.5685878900908073,0.043221532478355584,0.265959074238353,0.06505461930641325
NPO scratch S250,scratch,0.5952145147980406,0.02891379819632599,0.27210532917540536,0.06371909745768463
SimNPO kforge_s045 S50,kforge_s045,0.5722277931369438,0.541869765414546,0.46195741747947267,0.1922362587208043
SimNPO kforge_s045 S100,kforge_s045,0.5794821189714391,0.41261744838828845,0.4161640824619182,0.14308606401054721
SimNPO kforge_s045 S250,kforge_s045,0.5951164129792917,0.2760155900195241,0.3891234239355576,0.11080644574775596
SimNPO kforge_s06 S50,kforge_s06,0.5711646270569091,0.5340982322519024,0.4525309985060328,0.18803400437958426
SimNPO kforge_s06 S100,kforge_s06,0.5817010622607175,0.40655897814780473,0.41578434850237755,0.14432039225754334
SimNPO kforge_s06 S250,kforge_s06,0.5917268955749831,0.2718627205118537,0.3892702529781941,0.10991900454720999
SimNPO scratch S50,scratch,0.5765691946804431,0.6619263111924132,0.5347295310579859,0.27032515255865813
SimNPO scratch S100,scratch,0.5821858414933024,0.5182389033337435,0.47219462471231033,0.17196160707637076
SimNPO scratch S250,scratch,0.5956907812850291,0.33695071380740654,0.42174297496790675,0.11592023480883736
NPO diagonal S50,diagonal,0.5611103660134312,0.05790842502536786,0.26980230084879914,0.06780171570168364
NPO diagonal S100,diagonal,0.5844525689836971,0.03318290525322557,0.273598017618066,0.06782394906845614
NPO forget_only S50,forget_only,0.5427792949551039,0.062205086017227885,0.2856598117752425,0.06845957397175577
NPO forget_only S100,forget_only,0.581783726102106,0.032327940710218474,0.2835992088308232,0.07071935116749278
NPO random_rank2 S50,random_rank2,0.5160902294057285,0.08203301411344,0.24344464396764123,0.0660976809482758
NPO random_rank2 S100,random_rank2,0.5787109930245099,0.0383532685686788,0.26378957188737134,0.06195978978483232
NPO weight_svd S50,weight_svd,0.5384474620962033,0.08448555575319916,0.24765254025766495,0.06072629073672744
NPO weight_svd S100,weight_svd,0.58698093867149,0.042942786921921654,0.2698536500665625,0.0620164311720958
SimNPO diagonal S50,diagonal,0.5702246321242173,0.606694411461552,0.48339734852448935,0.2183249536895032
SimNPO diagonal S100,diagonal,0.5834701707522734,0.4998883800891538,0.4449274276706723,0.16372085091053842
SimNPO forget_only S50,forget_only,0.5716782801413604,0.6189570253466566,0.4952156994589317,0.2312975386822793
SimNPO forget_only S100,forget_only,0.5828396127116081,0.4910923284168045,0.44501885545141234,0.1608969781213201
SimNPO random_rank2 S50,random_rank2,0.5778917668418746,0.650443092212081,0.5250988745035606,0.2664433397125607
SimNPO random_rank2 S100,random_rank2,0.5842236302359402,0.5153127734952917,0.461756768888387,0.1720514656698134
SimNPO weight_svd S50,weight_svd,0.5741925175355113,0.6187358013540506,0.4920432138470729,0.21745443379998544
SimNPO weight_svd S100,weight_svd,0.5852000269485496,0.4881641731907924,0.44980461594258,0.15097248017498546
