layer,q,k,v,o,gate,up,down
0,134.34216531872968,71.95007199841079,1.9594630918914016,3.5921861831945727,18.163722956589652,13.679846218010214,4.94375386558191
1,46.44434042688399,30.691577540769952,1.890777459290488,3.6638524816178033,24.63668154173897,10.711964338593024,11.266395156325489
2,45.41054304337528,28.21491218686693,2.0391828165307144,3.632443671363761,26.11845671517157,7.811142880370817,5.665218728931563
3,34.65776087854862,24.667166601193863,2.027642022994487,3.1348999672260125,32.94844616096238,7.891471521378241,5.005005973218459
4,38.44238586357186,26.70323141418844,1.8415776864789328,2.792048206985317,35.05107481649413,6.882768512943369,5.542285342571606
5,33.1089844615305,24.21766998364379,1.7462464976544871,4.451698890376742,31.61555417870108,7.71008969175571,6.4764030562083255
6,27.089944815034197,20.581570656445702,1.652509054587647,2.927292418041212,25.8311352286639,6.398056196023848,7.372177758101448
7,25.56414133838237,18.6626562132831,1.8969963446563631,3.5811207647987784,24.513993238478157,6.911679784164138,7.558590688584419
8,21.975005564796945,18.56732069784266,1.576492303936253,4.679084913009821,25.333490431563384,6.796516464302903,6.373943237086618
9,25.8393383204924,17.78318118925707,1.4616680495590144,4.657447484685804,28.642828743562315,6.936512687636026,6.220478988281305
10,26.038131511765457,17.72673691286647,1.7348715157041814,3.844255745183348,28.173218290467265,7.10345441798329,5.639190148552967
11,26.782432831124407,22.03385948887592,1.6927336400762785,3.216207214891805,24.63976188695042,7.917012071226507,5.636006439740601
12,33.887950288800866,24.33279982154296,1.8007991275305564,3.955287054766116,20.38985942747333,8.590827267335186,5.572171948734191
13,34.945088636119046,24.784352231169525,2.2831153977119465,4.86393875735574,19.933876711691138,10.668257409251584,8.433134092858772
14,37.6915936005323,22.652789684809697,4.184546671941541,9.646705507903247,19.941661140088588,12.157476935382851,10.471254532039746
15,28.41487069187826,18.902295153856677,3.8552165259909295,11.868349976188144,27.797376647634746,24.29561923614113,108.51862394739032
