forget,algo,init,steps,model_utility_mean,model_utility_std,forget_Q_A_Prob_mean,forget_Q_A_Prob_std,forget_Q_A_ROUGE_mean,extraction_strength_mean,seeds
forget01,NPO,random_rank2,50,0.5738245745894314,0.0031347424177357083,0.013218721851202037,0.0018432927001076976,0.2655138878143402,0.04545799147182303,3
forget01,NPO,random_rank2,100,0.5787413104222378,0.001315436908240386,0.011537141772532776,0.002241534449620353,0.27040634905696664,0.044423664590652945,3
forget01,NPO,weight_svd,50,0.5771269742590172,0.002169211202724714,0.012955448906480644,0.002110505306842346,0.28443350748875434,0.046809156707689314,3
forget01,NPO,weight_svd,100,0.5816686552494108,0.0009154473900350357,0.011972741224356771,0.0009825290414980574,0.28678560032714034,0.04515449324016879,3
forget01,SimNPO,random_rank2,50,0.5726899623951667,0.006713496582041427,0.28555757155021033,0.006031804965890709,0.4126953725443839,0.11466141728847135,3
forget01,SimNPO,random_rank2,100,0.5799988771539332,0.006205600826402436,0.2410338493064046,0.010199821035012463,0.4107706692893614,0.09419531575937236,3
forget01,SimNPO,weight_svd,50,0.5751865015405229,0.006402432806938141,0.30357229684789977,0.007153089347515495,0.41274244113854425,0.10807767372836237,3
forget01,SimNPO,weight_svd,100,0.577938428382506,0.006643196818673874,0.25610266675551735,0.014164086455345688,0.3857949821636433,0.09867275342609653,3
forget05,NPO,diagonal,50,0.5664434368878931,0.0013578953045477907,0.04053734876250019,0.0006384170891640181,0.2845808553388276,0.07270678251511689,2
forget05,NPO,diagonal,100,0.5849386497345314,0.0,0.028371867895893955,0.0,0.29131205537099547,0.07270506170082548,1
forget05,NPO,random_rank2,50,0.5571276343157155,0.005096421831460844,0.043005989803999306,0.006410275314660736,0.279841896829976,0.05818615701567024,3
forget05,NPO,random_rank2,100,0.5795321553131237,0.0022386270148028434,0.02538471591909001,0.002159728166447427,0.2778448923925206,0.055127555356818986,3
forget05,NPO,weight_svd,50,0.5730104931669191,0.007417336017713494,0.042610949202765674,0.003037986684721464,0.3084297739399586,0.0592263862596483,3
forget05,NPO,weight_svd,100,0.591951191244764,0.002417844771007075,0.03354640237189111,0.00164748234797109,0.3137128539594126,0.05933959413880344,3
forget05,SimNPO,random_rank2,50,0.5721548319489143,0.010454657796095673,0.5166340578906239,0.0235040261865492,0.47687246640003234,0.19010907342197175,2
forget05,SimNPO,random_rank2,100,0.58798074433963,0.0,0.4100189688801765,0.0,0.43855902571961053,0.15618276581777027,1
forget05,SimNPO,weight_svd,50,0.5752187948182247,0.00667137295712421,0.4760043151304126,0.009748306793967952,0.44567087338497097,0.15652582207910654,3
forget05,SimNPO,weight_svd,100,0.587634811208637,0.003462566528434472,0.375307113789022,0.004636039987344864,0.41956935999537937,0.12642109725340464,3
forget10,NPO,diagonal,50,0.5611103660134312,0.006833556367904568,0.05790842502536786,0.006703027321987191,0.26980230084879914,0.06780171570168364,3
forget10,NPO,diagonal,100,0.5844525689836971,0.010556455327471128,0.03318290525322557,0.0006157243074264881,0.273598017618066,0.06782394906845614,3
forget10,NPO,forget_only,50,0.5427792949551039,0.004055105307741079,0.062205086017227885,0.0036869340564474233,0.2856598117752425,0.06845957397175577,3
forget10,NPO,forget_only,100,0.581783726102106,0.0030357712202003623,0.032327940710218474,0.0006315707536427383,0.2835992088308232,0.07071935116749278,3
forget10,NPO,random_rank2,50,0.5160902294057285,0.004442845789452834,0.08203301411344,0.004854955290884684,0.24344464396764123,0.0660976809482758,3
forget10,NPO,random_rank2,100,0.5787109930245099,0.007959755452229414,0.0383532685686788,0.004666161350087622,0.26378957188737134,0.06195978978483232,3
forget10,NPO,weight_svd,50,0.5384474620962033,0.01200735454945441,0.08448555575319916,0.006329252963148407,0.24765254025766495,0.06072629073672744,3
forget10,NPO,weight_svd,100,0.58698093867149,0.002759063971255475,0.042942786921921654,0.0014227404761859585,0.2698536500665625,0.0620164311720958,3
forget10,SimNPO,diagonal,50,0.5702246321242173,0.0027696666767772628,0.606694411461552,0.001534531750538204,0.48339734852448935,0.2183249536895032,3
forget10,SimNPO,diagonal,100,0.5834701707522734,0.003124491995480512,0.4998883800891538,0.006508086397765486,0.4449274276706723,0.16372085091053842,3
forget10,SimNPO,forget_only,50,0.5716782801413604,0.004532099703032201,0.6189570253466566,0.005738265803130544,0.4952156994589317,0.2312975386822793,3
forget10,SimNPO,forget_only,100,0.5828396127116081,0.0010783603653121575,0.4910923284168045,0.0036455613261539756,0.44501885545141234,0.1608969781213201,3
forget10,SimNPO,random_rank2,50,0.5778917668418746,0.010723596039097182,0.650443092212081,0.003505400884089133,0.5250988745035606,0.2664433397125607,3
forget10,SimNPO,random_rank2,100,0.5842236302359402,0.0009528441478732624,0.5153127734952917,0.0018380840106458607,0.461756768888387,0.1720514656698134,3
forget10,SimNPO,weight_svd,50,0.5741925175355113,0.005021425224979922,0.6187358013540506,0.006343153560902913,0.4920432138470729,0.21745443379998544,3
forget10,SimNPO,weight_svd,100,0.5852000269485496,0.0030316061230493845,0.4881641731907924,0.005373668248325954,0.44980461594258,0.15097248017498546,3
